StoreID,Month,NumberOfSales
1000,3,190300
1000,4,182852
1001,3,88168
1001,4,82639
1002,3,128367
1002,4,118502
1003,3,140324
1003,4,131595
1004,3,102511
1004,4,92175
1005,3,122518
1005,4,115089
1006,3,170316
1006,4,155803
1007,3,103811
1007,4,94949
1008,3,145243
1008,4,124101
1009,3,128901
1009,4,121621
1010,3,146181
1010,4,135595
1011,3,73238
1011,4,66962
1012,3,174392
1012,4,159837
1013,3,124299
1013,4,114194
1014,3,124890
1014,4,116542
1015,3,149563
1015,4,139706
1016,3,96074
1016,4,85651
1017,3,80789
1017,4,73673
1018,3,96452
1018,4,89235
1019,3,109720
1019,4,102400
1020,3,152852
1020,4,139109
1021,3,145465
1021,4,134608
1022,3,142934
1022,4,135488
1023,3,100398
1023,4,92970
1024,3,109973
1024,4,102966
1025,3,126373
1025,4,114234
1026,3,119053
1026,4,109920
1027,3,82516
1027,4,75663
1028,3,149665
1028,4,140711
1029,3,130994
1029,4,114174
1030,3,128424
1030,4,117660
1031,3,99513
1031,4,90272
1032,3,115587
1032,4,105662
1033,3,155332
1033,4,141443
1034,3,95622
1034,4,87108
1035,3,148136
1035,4,135843
1036,3,127971
1036,4,119178
1037,3,188584
1037,4,169797
1038,3,165672
1038,4,153845
1039,3,149359
1039,4,134593
1040,3,108448
1040,4,100071
1041,3,92692
1041,4,85993
1042,3,89333
1042,4,81257
1043,3,122019
1043,4,111981
1044,3,104639
1044,4,93000
1045,3,136179
1045,4,125089
1046,3,155227
1046,4,144477
1047,3,150493
1047,4,139625
1048,3,139242
1048,4,127195
1049,3,109955
1049,4,95560
1050,3,180521
1050,4,165724
1051,3,115462
1051,4,101698
1052,3,113573
1052,4,104060
1053,3,163778
1053,4,156502
1054,3,113747
1054,4,105336
1055,3,93891
1055,4,87027
1056,3,84334
1056,4,76982
1057,3,335160
1057,4,306872
1058,3,76818
1058,4,66704
1059,3,95641
1059,4,87599
1060,3,95575
1060,4,86765
1061,3,208806
1061,4,188986
1062,3,117353
1062,4,105609
1063,3,67397
1063,4,61905
1064,3,139553
1064,4,129501
1065,3,148654
1065,4,138358
1066,3,194898
1066,4,177000
1067,3,97314
1067,4,88883
1068,3,137329
1068,4,133928
1069,3,122683
1069,4,115180
1070,3,158193
1070,4,144954
1071,3,111888
1071,4,101867
1072,3,88140
1072,4,82096
1073,3,190503
1073,4,175483
1074,3,97167
1074,4,86303
1075,3,177386
1075,4,161647
1076,3,67867
1076,4,62005
1077,3,139991
1077,4,123991
1078,3,94066
1078,4,85116
1079,3,160435
1079,4,145371
1080,3,130324
1080,4,122256
1081,3,172652
1081,4,157080
1082,3,101995
1082,4,91876
1083,3,111174
1083,4,102111
1084,3,86013
1084,4,78557
1085,3,93699
1085,4,85455
1086,3,144898
1086,4,133923
1087,3,83976
1087,4,76712
1088,3,209401
1088,4,187320
1089,3,133518
1089,4,124756
1090,3,155945
1090,4,159769
1091,3,189208
1091,4,173679
1092,3,133440
1092,4,122774
1093,3,88819
1093,4,78605
1094,3,134571
1094,4,124064
1095,3,128158
1095,4,118389
1096,3,99473
1096,4,89293
1097,3,143415
1097,4,129144
1098,3,72187
1098,4,65414
1099,3,121776
1099,4,110582
1100,3,113248
1100,4,103083
1101,3,63434
1101,4,59463
1102,3,158467
1102,4,142532
1103,3,112465
1103,4,101114
1104,3,124722
1104,4,113940
1105,3,71879
1105,4,63570
1106,3,174267
1106,4,160092
1107,3,222922
1107,4,215097
1108,3,152452
1108,4,151411
1109,3,92068
1109,4,84912
1110,3,153171
1110,4,138086
1111,3,151309
1111,4,139120
1112,3,130746
1112,4,117654
1113,3,101767
1113,4,100248
1114,3,148782
1114,4,137611
1115,3,63000
1115,4,58650
1116,3,108284
1116,4,98290
1117,3,106311
1117,4,97704
1118,3,159539
1118,4,149582
1119,3,104304
1119,4,93041
1120,3,162987
1120,4,143351
1121,3,118607
1121,4,107486
1122,3,93146
1122,4,86354
1123,3,111445
1123,4,101032
1124,3,145001
1124,4,133176
1125,3,105846
1125,4,98305
1126,3,96776
1126,4,88754
1127,3,63018
1127,4,58996
1128,3,159474
1128,4,144109
1129,3,417295
1129,4,460435
1130,3,87289
1130,4,79937
1131,3,136943
1131,4,122860
1132,3,143022
1132,4,131790
1133,3,129353
1133,4,117064
1134,3,112673
1134,4,101512
1135,3,110679
1135,4,101779
1136,3,86461
1136,4,78077
1137,3,115376
1137,4,106992
1138,3,130765
1138,4,119066
1139,3,144858
1139,4,135732
1140,3,99196
1140,4,90974
1141,3,114661
1141,4,104259
1142,3,138748
1142,4,125936
1143,3,87068
1143,4,80702
1144,3,93642
1144,4,86602
1145,3,141158
1145,4,129728
1146,3,109003
1146,4,100198
1147,3,189817
1147,4,174382
1148,3,94002
1148,4,87574
1149,3,88126
1149,4,80208
1150,3,80952
1150,4,76509
1151,3,87130
1151,4,78965
1152,3,163270
1152,4,150142
1153,3,125998
1153,4,119422
1154,3,98902
1154,4,88890
1155,3,141973
1155,4,130955
1156,3,140476
1156,4,131064
1157,3,99588
1157,4,90949
1158,3,162121
1158,4,150950
1159,3,140230
1159,4,130305
1160,3,144422
1160,4,133453
1161,3,85566
1161,4,78220
1162,3,86802
1162,4,80844
1163,3,84606
1163,4,76029
1164,3,103233
1164,4,95231
1165,3,87091
1165,4,79138
1166,3,76145
1166,4,69320
1167,3,91333
1167,4,84585
1168,3,150775
1168,4,141088
1169,3,172449
1169,4,158658
1170,3,180315
1170,4,163377
1171,3,63508
1171,4,58275
1172,3,132544
